Port_IDs,PnL,total_investment,ROI,Sharpe_Ratio,MDD,Win_Rate,win_positions,total_positions,Rank,Win_Rate_Quantile
3672754654734989568,566.59765978,1109156.625778,0.051083647395837276,0.05563980108221875,-2508.341632515419,44.303797468354425,210,474,111.0,2
3733192481840423936,2923.97719988,6530890.37,0.044771494148967014,0.41310988698357076,-0.046554000617749836,80.2612481857765,553,689,114.0,3
3768170840939476993,243.66889897,581.045641,41.93627518668537,0.4241838611959271,0.0,42.857142857142854,6,14,22.0,2
3784403294629753856,2521.81430468,1583613.4949853,0.15924430504448364,0.04233150595796525,-10995.442147515438,30.231404958677686,1829,6050,85.0,1
3786761687746711808,205.02139999,1605869.0940999999,0.01276700577545538,0.21861638385449422,-0.0018491709251229338,45.1219512195122,37,82,138.0,2
3788465932399412480,13960.96645667,1444790.7069,0.9662968061737606,0.17175942939570743,-177.52769362774416,44.607363962202676,1369,3069,43.0,2
3818233536529843712,6419.60790714,1741180.2786947,0.3686928910056659,0.1783115003018478,-2695.257722653623,33.919774806474315,482,1421,69.0,1
3819545518395756033,980.0631999599999,4503755.7,0.021761020473646028,0.20953161632054298,0.0,38.23529411764706,26,68,131.0,2
3826087012661391104,532.65697373,213037.60244780002,0.25002955704053015,0.13647425904289812,-500.27381923076905,58.333333333333336,63,108,80.0,3
3858510226868015873,-280.97295038999994,3444498.17,-0.008157151971719583,-0.011377447059513544,-0.24229523158317462,24.397590361445783,243,996,144.0,0
3865845304835489536,1406.06618669,4569.8187733,30.768532767758717,0.055465460025718484,-6314.3119184204525,51.13378684807256,451,882,24.0,3
3878631538480067329,3921.23304116,3190707.2433134,0.12289541917007664,0.030648362353142458,-76838.01112893863,50.337958022056206,1415,2811,91.0,3
3879821005658659073,4268.00656095,613141.9305487,0.6960878629081142,0.042532378588929776,-9196.682039247464,33.142201834862384,289,872,46.0,1
3880920727367689984,-176.82699999000002,4642461.23,-0.0038089063371671925,0.27988518155517644,-0.008759128388418747,33.793103448275865,49,145,143.0,1
3886752488982104320,7195.17832464,4023522.8952102,0.17882782109194642,0.17248377886896393,-1379.3784229402736,74.5396317053643,931,1249,83.0,3
3887577207880438784,2417.51403674,174675.584538,1.3840022594652197,0.025472844784809393,-1420.851374822767,47.81818181818182,2893,6050,38.0,3
3891020560590657281,2856.30056379,191.7739046,1489.4104439014482,0.2644330080608566,0.0,64.75972540045767,283,437,9.0,3
3907081197088384000,18015.99737026,114362.1424067,15.753462632932031,0.05995805734018284,-92535.78118715015,61.39714769156394,2540,4137,30.0,3
3910887259807777281,1803.30201001,2957010.86,0.0609839495148151,-0.08915287548347059,-0.01068703888535985,22.666666666666664,17,75,105.0,0
3910983669796782848,6761.64804825,1287732.0663213,0.5250819036887221,0.09925054153479837,-7564.928478258726,42.8125,274,640,57.0,2
3911997667197443328,605.72231024,209258.1086,0.2894618107238306,-0.12915945609616614,-53.53261915784776,46.875,30,64,74.0,3
3914654298562589441,343.47044904999996,2279123.6948810997,0.01507028555849921,-0.04362061065098555,-192712.53250615738,41.40786749482402,200,483,134.0,2
3919174299855478272,1456.3718076199998,6646451.4131826,0.021912020672135296,-0.06779749164354697,-129505.42520949952,48.06629834254144,609,1267,130.0,3
3923766029921022977,772.72903189,3207674.4534479,0.02409000798255573,0.1670863504864716,-93.55835805926307,28.51469420174742,359,1259,127.0,0
3925368433214965504,6789.43673863,12185959.64302,0.05571524063366584,0.12072495798701025,-0.910133641554772,33.33333333333333,486,1458,108.0,1
3926423286576838657,1309.45995959,5189720.28,0.025231802273358743,0.24479359552439087,-0.018903601351351385,34.10041841004184,163,478,125.0,1
3930688517098515713,1947.24457347,5717498.8951195,0.034057629204479294,-0.10599338863978365,-56530.50609394535,48.61111111111111,140,288,120.0,3
3931992636670880512,10374.96528998,1845692.1997792,0.5621178488602355,0.10738668235354275,-186.44221720042492,40.16528925619834,2430,6050,52.0,2
3932103299427844097,3860.30970535,27212678.608718902,0.014185702777943964,0.022330630696637665,-33009.797100379736,30.050212437234453,778,2589,136.0,1
3935808725185052672,2301.96412286,5189344.8243029,0.04435943651459372,0.04301351753897254,-6262.035487980509,35.10204081632653,602,1715,115.0,1
3936410995029308417,10681.514,1273063.4,0.8390402237626186,0.2982872715468045,0.0,30.0,6,20,45.0,1
3937714876784951296,1117.5308932100002,4499623.493679,0.024836097837516623,0.08268723603570857,-937.8851249985105,39.33463796477495,201,511,126.0,2
3939318616482048768,9775.38910984,1020578.4500000001,0.9578282894215531,0.19759784472839892,-0.027714961034906782,37.46031746031746,118,315,44.0,1
3939925275039085824,2378.8786707,769346.7112425,0.30920762199114304,0.07119182446382132,-639.0277470823439,36.23481781376518,2148,5928,73.0,1
3941019213896463617,4234.08779003,5682172.49,0.07451529846166285,0.14891657847444856,-0.2768470531487284,49.107142857142854,55,112,100.0,3
3942630767220672256,6611.89848042,2509672.8261439,0.2634565912951749,0.09230944976722011,-59591.31482987915,38.29744415375327,1903,4969,79.0,2
3943533600390906881,2361.42457205,2918590.3807832,0.08090976341175753,0.06954164981393192,-123.01679605562822,54.80386583285958,964,1759,99.0,3
3944088772635000577,7581.4919834,1340718.6383528,0.5654797186018524,0.13095228213363228,-967.2321137655636,45.75292759360053,2774,6063,51.0,2
3944239644144231424,-1187.89097568,9257053.3939402,-0.012832279615645413,-0.10009573166281682,-374870.91142178164,26.456876456876454,227,858,145.0,0
3944658614777849089,2074.44997996,752913.1613,0.27552313953154955,0.33483377978064544,0.0,44.44444444444444,20,45,75.0,2
